side,firstblood,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,firstdragon,firstherald,firsttower,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,firstbaron,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,result
1,0.0,667.0,1276.0,46.0,0.0,0.0,1.0,0.0,1.0,1.0,2704.0,2262.0,47.0,6.0,19.0,4.0,3358.0,1218.0,70.0,7.0,21.0,8.0,0.0,8249.0,3945.0,91.0,13.0,37.0,10.0,1
0,1.0,-667.0,-1276.0,-46.0,1.0,1.0,0.0,1.0,0.0,0.0,-2704.0,-2262.0,-47.0,4.0,8.0,6.0,-3358.0,-1218.0,-70.0,8.0,17.0,7.0,0.0,-8249.0,-3945.0,-91.0,10.0,20.0,13.0,0
1,0.0,-1896.0,-1998.0,-18.0,1.0,2.0,4.0,0.0,0.0,0.0,-2149.0,-1866.0,-34.0,4.0,6.0,9.0,-4828.0,-4162.0,-61.0,6.0,12.0,13.0,0.0,-9279.0,-7601.0,-54.0,7.0,14.0,20.0,0
0,1.0,1896.0,1998.0,18.0,4.0,11.0,1.0,1.0,1.0,1.0,2149.0,1866.0,34.0,9.0,20.0,4.0,4828.0,4162.0,61.0,13.0,29.0,6.0,1.0,9279.0,7601.0,54.0,20.0,46.0,7.0,1
1,0.0,-2505.0,-2145.0,-48.0,0.0,0.0,2.0,0.0,0.0,0.0,-5695.0,-3272.0,-74.0,1.0,2.0,3.0,-12661.0,-10400.0,-131.0,2.0,5.0,11.0,0.0,,,,,,,0
0,1.0,2505.0,2145.0,48.0,2.0,5.0,0.0,1.0,1.0,1.0,5695.0,3272.0,74.0,3.0,7.0,1.0,12661.0,10400.0,131.0,11.0,24.0,2.0,0.0,,,,,,,1
1,1.0,675.0,406.0,0.0,3.0,4.0,2.0,0.0,1.0,1.0,434.0,-260.0,-12.0,5.0,8.0,5.0,461.0,-607.0,-38.0,8.0,14.0,7.0,0.0,-4516.0,-7328.0,-48.0,9.0,17.0,14.0,0
0,0.0,-675.0,-406.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,-434.0,260.0,12.0,5.0,7.0,5.0,-461.0,607.0,38.0,7.0,10.0,8.0,1.0,4516.0,7328.0,48.0,14.0,31.0,9.0,1
1,1.0,1462.0,1116.0,15.0,3.0,4.0,0.0,0.0,1.0,1.0,6864.0,6564.0,80.0,9.0,18.0,0.0,9261.0,10216.0,73.0,15.0,32.0,2.0,0.0,,,,,,,1
0,0.0,-1462.0,-1116.0,-15.0,0.0,0.0,3.0,1.0,0.0,0.0,-6864.0,-6564.0,-80.0,0.0,0.0,9.0,-9261.0,-10216.0,-73.0,2.0,5.0,15.0,0.0,,,,,,,0
1,1.0,-2293.0,105.0,-11.0,1.0,1.0,7.0,1.0,1.0,0.0,-4968.0,-997.0,-20.0,3.0,8.0,11.0,-4755.0,180.0,-33.0,6.0,15.0,13.0,1.0,1414.0,5641.0,-25.0,13.0,39.0,13.0,1
0,0.0,2293.0,-105.0,11.0,7.0,10.0,2.0,0.0,0.0,1.0,4968.0,997.0,20.0,11.0,21.0,4.0,4755.0,-180.0,33.0,13.0,26.0,7.0,0.0,-1414.0,-5641.0,25.0,13.0,26.0,14.0,0
1,0.0,-18.0,595.0,1.0,2.0,4.0,3.0,1.0,0.0,1.0,-880.0,-1071.0,-1.0,5.0,14.0,8.0,3173.0,3534.0,48.0,9.0,22.0,8.0,1.0,6229.0,7922.0,59.0,15.0,40.0,10.0,1
0,1.0,18.0,-595.0,-1.0,3.0,2.0,2.0,0.0,1.0,0.0,880.0,1071.0,1.0,8.0,17.0,5.0,-3173.0,-3534.0,-48.0,8.0,17.0,9.0,0.0,-6229.0,-7922.0,-59.0,9.0,19.0,15.0,0
1,0.0,1156.0,1245.0,16.0,3.0,4.0,1.0,0.0,1.0,1.0,4283.0,1721.0,5.0,7.0,13.0,2.0,4022.0,2199.0,-8.0,12.0,25.0,5.0,1.0,5127.0,2227.0,-22.0,19.0,46.0,8.0,1
0,1.0,-1156.0,-1245.0,-16.0,1.0,1.0,3.0,1.0,0.0,0.0,-4283.0,-1721.0,-5.0,2.0,2.0,7.0,-4022.0,-2199.0,8.0,5.0,8.0,12.0,0.0,-5127.0,-2227.0,22.0,8.0,18.0,19.0,0
1,1.0,-242.0,-585.0,-19.0,2.0,3.0,2.0,1.0,1.0,0.0,1446.0,269.0,-31.0,6.0,13.0,3.0,140.0,-688.0,-26.0,7.0,14.0,8.0,0.0,-2335.0,-3931.0,-59.0,11.0,24.0,15.0,1
0,0.0,242.0,585.0,19.0,2.0,2.0,2.0,0.0,0.0,1.0,-1446.0,-269.0,31.0,3.0,3.0,6.0,-140.0,688.0,26.0,8.0,21.0,7.0,1.0,2335.0,3931.0,59.0,15.0,44.0,11.0,0
1,1.0,-650.0,-877.0,1.0,4.0,10.0,5.0,0.0,1.0,0.0,-3817.0,-2591.0,-26.0,4.0,10.0,9.0,-3460.0,-375.0,-28.0,5.0,12.0,10.0,0.0,-7481.0,-4477.0,-59.0,6.0,15.0,16.0,0
0,0.0,650.0,877.0,-1.0,5.0,5.0,4.0,1.0,0.0,1.0,3817.0,2591.0,26.0,9.0,16.0,4.0,3460.0,375.0,28.0,10.0,19.0,5.0,1.0,7481.0,4477.0,59.0,16.0,34.0,6.0,1
1,1.0,-334.0,-475.0,-19.0,1.0,1.0,1.0,0.0,0.0,0.0,-3436.0,-3610.0,-47.0,1.0,1.0,4.0,-5404.0,-3577.0,-63.0,1.0,1.0,5.0,0.0,-7787.0,-5143.0,-83.0,4.0,9.0,9.0,0
0,0.0,334.0,475.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,3436.0,3610.0,47.0,4.0,7.0,1.0,5404.0,3577.0,63.0,5.0,9.0,1.0,1.0,7787.0,5143.0,83.0,9.0,18.0,4.0,1
